Timestamp,Event
2026-01-08 18:06:53.375039,SECURE HTTP HEADERS CONFIGURED
2026-01-08 18:07:18.732768,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-08 18:30:14.033321,LOGIN FAILED - user=sahil
2026-01-08 18:30:44.109364,LOGIN FAILED - user=sahil
2026-01-08 18:31:05.143187,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-08 18:31:23.375732,LOGOUT - user=sahil - ip=127.0.0.1
2026-01-08 18:31:34.145807,LOGIN FAILED - user=sahil
2026-01-08 18:31:44.807659,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-08 18:31:47.445950,LOGOUT - user=sahil - ip=127.0.0.1
2026-01-08 18:31:55.051215,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-08 18:32:03.061250,LOGIN FAILED - user=sahil
2026-01-08 18:32:06.768444,LOGIN FAILED - user=sahil
2026-01-08 18:32:10.673888,LOGIN FAILED - user=sahil
2026-01-08 18:32:13.952399,BRUTE FORCE BLOCKED - user=sahil - ip=127.0.0.1
2026-01-08 19:38:32.058206,LOGIN SUCCESS - user=sahil - ip=127.0.0.1
2026-01-08 20:24:05.706470,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:24:06.107855,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:30:17.932304,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:31:29.075752,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:32:23.028437,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:33:00.240423,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:33:00.636627,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:47:46.725368,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:51:32.348429,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:51:32.750726,SECURE HTTP HEADERS CONFIGURED
2026-01-08 20:51:59.300648,UNAUTHORIZED ADMIN ACCESS - ip=127.0.0.1
2026-01-08 20:52:12.167449,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-08 21:01:32.976314,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:01:33.366788,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:01:42.092719,ADMIN LOGIN FAILED - admin=sahil - ip=127.0.0.1
2026-01-08 21:01:53.585307,ADMIN LOGIN SUCCESS - admin=admin - ip=127.0.0.1
2026-01-08 21:03:51.820720,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:14:09.844550,SECURE HTTP HEADERS CONFIGURED
2026-01-08 21:14:13.378250,SECURE HTTP HEADERS CONFIGURED
